ID	HMDB_ID	standard_metName	metName	Gene_name	Protein_name	Evidence	Annotation
620	HMDB0001043	Arachidonic acid	Arachidonic acid	TRPM2	Transient receptor potential cation channel subfamily M member 2	Cellinker	Receptor
621	HMDB0001085	Leukotriene B4	Leukotriene B4	LTB4R	Leukotriene B4 receptor 1	Cellinker	Receptor
622	HMDB0001085	Leukotriene B4	Leukotriene B4	LTB4R2	Leukotriene B4 receptor 2	Cellinker	Receptor
623	HMDB0001090	(R)-5-Diphosphomevalonic acid	(R)-5-Diphosphomevalonic acid	PMVK	Phosphomevalonate kinase	Cellinker	Enzyme
624	HMDB0001120	Dimethylallylpyrophosphate	Dimethylallylpyrophosphate	MVK	Mevalonate kinase	Cellinker	Enzyme
625	HMDB0001167	Pyruvaldehyde	Pyruvaldehyde	TRPA1	Transient receptor potential cation channel subfamily A member 1	Cellinker	Receptor; Channel
626	HMDB0001193	5(S)-Hydroperoxyeicosatetraenoic acid	5(S)-Hydroperoxyeicosatetraenoic acid	OXER1	Oxoeicosanoid receptor 1	Cellinker	Receptor
627	HMDB0001198	Leukotriene C4	Leukotriene C4	CYSLTR1	Cysteinyl leukotriene receptor 1	Cellinker	Receptor
628	HMDB0001198	Leukotriene C4	Leukotriene C4	CYSLTR2	Cysteinyl leukotriene receptor 2	Cellinker	Receptor
629	HMDB0001198	Leukotriene C4	Leukotriene C4	GPR17	Uracil nucleotide/cysteinyl leukotriene receptor	Cellinker	Receptor
630	HMDB0001256	Spermine	Spermine	CASR	Extracellular calcium-sensing receptor	Cellinker	Receptor
631	HMDB0001256	Spermine	Spermine	KCNJ4	Inward rectifier potassium channel 4	Cellinker	Channel
632	HMDB0001257	Spermidine	Spermidine	KCNJ4	Inward rectifier potassium channel 4	Cellinker	Channel
633	HMDB0001285	Geranyl-PP	Geranyl-PP	MVK	Mevalonate kinase	Cellinker	Enzyme
634	HMDB0001314	Cyclic GMP	Cyclic GMP	CNGA1	cGMP-gated cation channel alpha-1	Cellinker	Channel
635	HMDB0001314	Cyclic GMP	Cyclic GMP	CNGA3	Cyclic nucleotide-gated cation channel alpha-3	Cellinker	Channel
636	HMDB0001314	Cyclic GMP	Cyclic GMP	PDE2A	cGMP-dependent 3',5'-cyclic phosphodiesterase	Cellinker	Enzyme
637	HMDB0001314	Cyclic GMP	Cyclic GMP	PDE3A	cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A	Cellinker	Enzyme
638	HMDB0001314	Cyclic GMP	Cyclic GMP	PDE3B	cGMP-inhibited 3',5'-cyclic phosphodiesterase 3B	Cellinker	Enzyme
639	HMDB0001341	ADP	ADP	TRPM4	Transient receptor potential cation channel subfamily M member 4	Cellinker	Receptor; Channel
640	HMDB0001347	Isopentenyl pyrophosphate	Isopentenyl pyrophosphate	FDPS	Farnesyl pyrophosphate synthase	Cellinker	Enzyme
641	HMDB0001347	Isopentenyl pyrophosphate	Isopentenyl pyrophosphate	MVK	Mevalonate kinase	Cellinker	Enzyme
642	HMDB0001361	Carbon monoxide	Carbon monoxide	GUCY1B1	Guanylate cyclase soluble subunit beta-1	Cellinker	Enzyme
643	HMDB0001361	Carbon monoxide	Carbon monoxide	GUCY1B2	Guanylate cyclase soluble subunit beta-2	Cellinker	Enzyme
644	HMDB0001361	Carbon monoxide	Carbon monoxide	GUCY1A1	Guanylate cyclase soluble subunit alpha-1	Cellinker	Enzyme
645	HMDB0001361	Carbon monoxide	Carbon monoxide	GUCY1A2	Guanylate cyclase soluble subunit alpha-2	Cellinker	Enzyme
646	HMDB0001388	alpha-Linolenic acid	alpha-Linolenic acid	FFAR1	Free fatty acid receptor 1	Cellinker	Receptor
647	HMDB0001388	alpha-Linolenic acid	alpha-Linolenic acid	FFAR4	Free fatty acid receptor 4	Cellinker	Receptor
648	HMDB0001403	Prostaglandin D2	Prostaglandin D2	PTGER1	Prostaglandin E2 receptor EP1 subtype	Cellinker	Receptor
649	HMDB0001403	Prostaglandin D2	Prostaglandin D2	PTGER2	Prostaglandin E2 receptor EP2 subtype	Cellinker	Receptor
650	HMDB0001403	Prostaglandin D2	Prostaglandin D2	PTGER4	Prostaglandin E2 receptor EP4 subtype	Cellinker	Receptor
651	HMDB0001403	Prostaglandin D2	Prostaglandin D2	PTGFR	Prostaglandin F2-alpha receptor	Cellinker	Receptor
652	HMDB0001414	Putrescine	Putrescine	KCNJ4	Inward rectifier potassium channel 4	Cellinker	Channel
653	HMDB0001419	24-Hydroxycholesterol	24-Hydroxycholesterol	NR1H3	Oxysterols receptor LXR-alpha	Cellinker	Nuclear Receptor
654	HMDB0001419	24-Hydroxycholesterol	24-Hydroxycholesterol	NR1H2	Oxysterols receptor LXR-beta	Cellinker	Receptor
655	HMDB0001449	Allopregnanolone	Allopregnanolone	GABRA1	Gamma-aminobutyric acid receptor subunit alpha-1	Cellinker	Receptor
656	HMDB0001449	Allopregnanolone	Allopregnanolone	GABRA2	Gamma-aminobutyric acid receptor subunit alpha-2	Cellinker	Receptor
657	HMDB0001449	Allopregnanolone	Allopregnanolone	GABRA3	Gamma-aminobutyric acid receptor subunit alpha-3	Cellinker	Receptor
658	HMDB0001449	Allopregnanolone	Allopregnanolone	GABRA4	Gamma-aminobutyric acid receptor subunit alpha-4	Cellinker	Receptor
659	HMDB0001449	Allopregnanolone	Allopregnanolone	GABRA5	Gamma-aminobutyric acid receptor subunit alpha-5	Cellinker	Receptor
660	HMDB0001449	Allopregnanolone	Allopregnanolone	GABRA6	Gamma-aminobutyric acid receptor subunit alpha-6	Cellinker	Receptor
661	HMDB0001498	myo-Inositol 1,4,5-trisphosphate	myo-Inositol 1,4,5-trisphosphate	ITPR1	Inositol 1,4,5-trisphosphate receptor type 1	Cellinker	Receptor
662	HMDB0001498	myo-Inositol 1,4,5-trisphosphate	myo-Inositol 1,4,5-trisphosphate	ITPR2	Inositol 1,4,5-trisphosphate receptor type 2	Cellinker	Receptor
663	HMDB0001498	myo-Inositol 1,4,5-trisphosphate	myo-Inositol 1,4,5-trisphosphate	ITPR3	Inositol 1,4,5-trisphosphate receptor type 3	Cellinker	Receptor
664	HMDB0001509	20-Hydroxy-leukotriene B4	20-Hydroxy-leukotriene B4	LTB4R	Leukotriene B4 receptor 1	Cellinker	Receptor
